fund_name,type,order,aic,residuals
Aurum Isis Standard Sterling Restricted,Fund of Funds,"(0, 0, 0)",202.06538623567909,"[-1.12850000e+00 -4.28500000e-01 -8.38500000e-01  7.81500000e-01
  1.15000004e-02  1.01500000e-01 -5.84999996e-02 -2.38500000e-01
  1.31500000e-01  4.81500000e-01 -3.48500000e-01  4.61500000e-01
 -7.38500000e-01 -1.27850000e+00  2.71500000e-01 -8.68500000e-01
 -5.48500000e-01 -8.84999996e-02 -1.48500000e-01 -5.18500000e-01
  4.81500000e-01  5.31500000e-01 -3.84999996e-02 -4.88500000e-01
 -5.18500000e-01 -1.43850000e+00  1.81500000e-01  1.21500000e-01
  2.61500000e-01 -4.58500000e-01 -2.08500000e-01  8.71500000e-01
  1.00150000e+00  3.91500000e-01  7.15000004e-02  9.71500000e-01
  7.41500000e-01 -4.48500000e-01  3.15000004e-02 -9.78500000e-01
  3.01500000e-01  7.71500000e-01  5.81500000e-01  5.41500000e-01
 -1.58500000e-01  1.21500000e-01 -2.68500000e-01 -5.98500000e-01
  4.51500000e-01 -1.28500000e-01  5.61500000e-01 -3.18500000e-01
  1.61150000e+00 -1.00850000e+00  6.71500000e-01 -3.84999996e-02
  1.28150000e+00  8.81500000e-01  7.81500000e-01 -1.13850000e+00
  7.31500000e-01 -7.28500000e-01  9.91500000e-01  2.31500000e-01
 -9.78500000e-01 -6.38500000e-01  6.41500000e-01 -5.38500000e-01
 -3.28500000e-01 -1.64850000e+00 -7.68500000e-01  3.91500000e-01
  2.15000004e-02 -6.58500000e-01  4.31500000e-01 -1.48500000e-01
  3.01500000e-01 -3.84999996e-02  1.50000040e-03  7.01500000e-01
  2.11500000e-01  2.31500000e-01  3.71500000e-01 -3.84999996e-02
  2.11500000e-01 -9.68500000e-01 -1.38500000e-01  1.32150000e+00
  1.50000040e-03  8.01500000e-01 -1.00850000e+00  3.71500000e-01
  9.41500000e-01 -1.12850000e+00  3.51500000e-01  2.51500000e-01
  1.50000040e-03 -4.88500000e-01 -4.28500000e-01  1.71500000e-01]"
Aurum Isis Standard Swiss Franc Restricted,Fund of Funds,"(0, 0, 0)",202.49010759096765,"[-1.1346 -0.4446 -0.8146  0.7454  0.0354  0.1354 -0.0446 -0.1546  0.1554
  0.5154 -0.3246  0.4754 -0.7146 -1.2146  0.2854 -0.8646 -0.6446 -0.1246
 -0.1246 -0.5746  0.4554  0.6154 -0.0146 -0.4746 -0.5046 -1.4146  0.1754
  0.1454  0.2854 -0.4246  0.8154  0.9054  0.9854  0.4154  0.1154  0.9854
  0.7854 -0.4146  0.0354 -0.9646  0.3554  0.8354  0.6654  0.5554 -0.1046
  0.1654 -0.2346 -0.6446  0.4954 -0.0946  0.6154 -0.2846  1.6254 -0.9646
  0.6654 -0.0846  1.0854  0.8954  0.7354 -1.1746  0.7054 -0.7846  0.9954
  0.1654 -0.9946 -0.6746  0.6254 -0.6546 -0.3546 -1.5946 -0.7946  0.3554
 -0.0046 -0.6746  0.1954 -0.2146  0.2454  0.0354 -0.0746  0.5854 -0.1546
  0.2554  0.3154 -0.0246  0.1754 -1.0146 -0.1546  1.2854  0.0454  0.8254
 -0.9846  0.1954  0.9154 -1.1646  0.3254  0.2154 -0.0546 -0.5146 -0.4546
  0.0954]"
Victory Arcadia Fund Class C EUR,Hedge Fund,"(0, 0, 1)",203.3665626439704,"[ 0.8512385   0.42182839 -0.53062765  0.12435601  0.88707103 -0.31115602
 -0.75829104  0.01860576 -1.19237737 -1.14703334  1.57415444 -0.31468472
  0.30239473  0.10247071  0.35132421  0.2329617   0.26596442  1.78955063
  0.62345491 -1.45992454  0.15496212 -0.61887704 -0.28848814 -0.13269635
 -0.12297312 -0.61486275  0.62073172 -0.87939531  0.17214132  0.31778433
 -0.19052012  0.48826442  1.54634856 -0.83928088 -0.16565457  0.30343202
  0.07226912  0.62719362  0.26934888  0.15889289  0.71035905 -0.8868136
 -0.396417   -0.11172131  0.23295056 -0.12403342  0.23534331 -0.33449843
 -0.60375465  0.11857296 -0.32180513  0.03377852  0.14467393  0.44312238
 -0.28487848  0.53660215 -0.21304546 -0.06735797  0.39432893  0.4446041
  0.34483356  0.8142231  -0.72699867  0.60252436  1.35414313 -0.98192743
  0.59206754 -0.19382468  1.20890663  1.37629802  0.43376696 -0.22306034
 -0.25541167  0.43087553 -0.13249841 -0.20301159  0.12069203 -0.12221695
 -1.0950097  -0.8859559   0.89341631 -0.44238919 -0.27278702  0.28425228
 -0.67400346  0.0822252  -0.12474126 -0.09451913  0.28960747 -0.72504419
 -0.74785548  0.5565777  -0.17692753 -0.02437718 -0.03402401 -0.72214923
 -0.20841809 -0.71825726 -0.49917446 -1.87175129]"
Aurum Isis Standard Dollar Restricted,Fund of Funds,"(0, 0, 0)",203.6257046535425,"[-1.1373 -0.4373 -0.8873  0.7427 -0.0073  0.0827 -0.1173 -0.1973  0.1027
  0.4627 -0.3973  0.4427 -0.7973 -1.3073  0.2127 -0.9373 -0.5773 -0.1473
 -0.2173 -0.5673  0.4327  0.4927 -0.0873 -0.5373 -0.5473 -1.4673  0.1427
  0.1027  0.2327 -0.4873  0.7527  0.8527  0.9427  0.3227  0.0227  0.9327
  0.6927 -0.4973 -0.0173 -1.0473  0.2727  0.7427  0.5727  0.5027 -0.2073
  0.0927 -0.3173 -0.6473  0.3927 -0.1673  0.5227 -0.3773  1.4627 -1.0473
  0.5727 -0.0873  1.2327  0.9827  0.6627 -1.0973  0.6927 -0.7873  0.9627
  0.1727 -1.0173 -0.6773  0.5527 -0.5673 -0.3373 -1.6073 -0.7673  0.4727
 -0.0173 -0.6473  0.3027 -0.1473  0.3027  0.0927 -0.0473  0.6327  0.4327
  0.2627  0.4327  0.0027  0.2727 -0.9073 -0.0773  1.4027  0.1227  0.8527
 -0.9573  0.5027  1.1027 -1.1273  0.4927  0.3127  0.1027 -0.3573 -0.3173
  0.2727]"
Aurum Isis Standard Euro Restricted,Fund of Funds,"(0, 0, 0)",203.73458207599168,"[-1.1426 -0.4526 -0.8326  0.8174 -0.0026  0.1074 -0.0026 -0.1326  0.1274
  0.5174 -0.3126  0.4474 -0.6626 -1.1626  0.3374 -0.7526 -0.5126 -0.0926
 -0.0526 -0.6026  0.4174  0.5174 -0.0426 -0.5026 -0.5426 -1.4126  0.1674
  0.1074  0.2274 -0.4726  0.7674  0.8474  0.9074  0.3874  0.0674  0.9674
  0.7374 -0.4626 -0.0026 -0.9926  0.2974  0.7574  0.6074  0.5374 -0.1326
  0.1374 -0.2226 -0.5826  0.4674 -0.0926  0.5774 -0.3226  1.6374 -1.0426
  0.6274 -0.0226  1.4374  1.1174  0.8074 -1.0926  0.7174 -0.7726  0.9874
  0.1574 -1.0026 -0.6126  0.6774 -0.6326 -0.3626 -1.6226 -0.8126  0.3474
 -0.0226 -0.7026  0.2974 -0.2326  0.2574 -0.0126 -0.0826  0.7274  0.0374
  0.2074  0.3174 -0.0726  0.1374 -1.0126 -0.1926  1.1974  0.0374  0.7874
 -1.0726  0.3074  0.9174 -1.1826  0.2874  0.1774 -0.0626 -0.5426 -0.4826
  0.0874]"
Victory Arcadia Fund Class B GBP,Hedge Fund,"(0, 0, 1)",203.97016773434467,"[ 0.75615655  0.38674118 -0.55765756  0.11272402  0.87461419 -0.38098867
 -0.8110337  -0.03884892 -1.25641914 -1.20373248  1.56619871 -0.39315559
  0.23129148  0.07195504  0.26240541  0.19600894  0.20869779  1.77627286
  0.58669769 -1.49596571  0.16204664 -0.63481176 -0.26252624 -0.16367275
 -0.13256438 -0.64850942  0.58009149 -0.87470322  0.17331879  0.32303405
 -0.18557764  0.48162181  1.66411506 -0.87186813 -0.17722301  0.31002517
  0.07690845  0.63145877  0.28548011  0.12159919  0.68291804 -0.88435413
 -0.40483685 -0.11647614  0.178416   -0.12794007  0.22060684 -0.35600305
 -0.60580864  0.09193105 -0.33141216  0.02949186  0.13052044  0.45121313
 -0.27007361  0.49776961 -0.2089709  -0.08390757  0.4121919   0.46738363
  0.33683608  0.80178468 -0.68707043  0.62746078  1.39624416 -0.96067602
  0.55974883 -0.12081559  1.2792453   1.44168332  0.49064022 -0.20760842
 -0.23416795  0.56090777 -0.11103707 -0.17262345  0.13914616 -0.07043531
 -1.03038274 -0.8669297   0.87183322 -0.43045722 -0.2615799   0.2761464
 -0.65661707  0.10164092 -0.10326778 -0.06410822  0.2584081  -0.69322715
 -0.71136263  0.5621032  -0.15126553  0.00506451 -0.00481132 -0.67292397
 -0.16524271 -0.68226435 -0.4534577  -1.81718434]"
"Pine Grove Partners, L.P. - Class C",Fund of Funds,"(3, 0, 1)",211.7298941496702,"[-1.82367846 -0.32669694  1.40020951 -0.20133847  1.69365502  0.12976087
 -0.30895534  0.75330025  0.26968489  0.33898797 -1.12221607  0.46077655
 -0.77807188 -0.56159953 -0.26798453 -1.38109917 -1.02263343  1.30659869
 -0.47031212  0.08843117  0.8263906   0.80958119  0.05840379 -0.45075968
 -1.05890919  0.11353538  0.819364    0.34029282  0.22840935  0.06252643
 -0.09466879  0.26829055  1.47530131 -0.39109734  0.31551879 -0.063021
  1.23793005 -1.51385053  0.32828166 -0.41957987  0.75300202  0.51410889
 -0.02490467  0.17558208  0.51064924  0.48371928 -0.04553677 -0.20747779
  0.18818378  0.48728462 -0.4358261  -0.06652394 -0.75547788 -0.93318849
  0.16132706 -0.57992275 -0.07495428  0.66591764  0.23937803  0.24930397
 -0.27253973 -1.29028656 -0.53592436 -0.78008254 -0.24395327 -0.28102421
  0.02846614 -0.48941314 -1.36788699 -0.20467441  0.54145294  0.53690475
  0.58037778 -0.47992951  0.6697268   0.82234837 -0.15482997  0.31557869
 -0.23891739  0.6828805   0.43312406 -0.097155   -0.79364755  0.5222603
  0.10857015  0.10103564 -0.01451892 -1.0330121   0.87064206  0.02201394
 -0.18946701  0.18497558  1.02068369 -0.32062258 -0.71241882  0.03313574
  0.28118721  0.66941    -0.20970576  0.0804877 ]"
"Waterfall Victoria Fund, L.P.",Hedge Fund,"(0, 0, 0)",213.26366716112565,"[ 0.1541  0.2041  0.4441  0.6441  0.7641 -0.8359  0.0641 -0.8759  0.5441
 -0.0059 -0.1359  0.7341  0.2341 -0.3559  0.0541 -0.7659  0.0341 -0.5459
 -2.0159 -1.1059  0.9341  1.8841 -0.3259  0.0141 -1.0159 -0.0059  0.2941
  0.2141  0.7041 -0.2659  0.4541 -0.3559 -0.3159  0.7241  0.2141 -0.0359
  0.8741  0.6841  0.1741  0.1841 -0.2459  0.1741 -1.1159  1.2041 -0.2259
 -0.2559  0.9441  3.3541  0.7141 -0.3059 -0.4959  0.1041 -0.9359 -0.3759
  0.8741 -0.0859  0.2141 -0.5159 -0.4759 -0.5359  0.0241 -0.2659 -0.4759
  0.5241  0.2641  0.2241 -0.7459 -0.6159  0.2941 -0.1159  1.1341  0.0541
 -0.2659  0.3441 -0.0659 -0.4459  0.0241 -0.6959 -0.1259 -0.5859 -0.4259
 -0.1659 -0.4059 -0.5159  0.3441 -0.5659 -0.0559 -0.2059 -0.2959 -0.5559
  0.3341  0.7541 -0.2759 -0.2059 -0.3359  1.5841 -0.7159  0.1341 -0.6859
 -0.4959]"
Pine Grove Institutional Partners L.P. - Class C,Fund of Funds,"(3, 0, 1)",215.2467435386442,"[-1.68        0.17616078  1.55661313 -0.02225961  1.56935549  0.19268521
 -0.32001811  0.98718727  0.20641061  0.40155205 -1.23931947  0.68209668
 -0.75446852 -0.4926316  -0.09937675 -1.36934981 -0.88924574  1.60574173
 -0.36339562  0.44992316  0.87469395  0.88516052 -0.07856579 -0.30607082
 -1.12892897  0.37205397  0.77638356  0.4940702   0.34055034  0.09553231
 -0.18393374  0.50678941  1.38356817 -0.43516365  0.31364057  0.10657613
  1.28998277 -1.61805474  0.48868959 -0.33089477  0.92652264  0.60089168
  0.01564468  0.20243056  0.60988701  0.5210877   0.04825748 -0.14088803
  0.23402522  0.43534937 -0.26372554 -0.21278379 -0.53398148 -0.8791351
  0.38882345 -0.51833048  0.07681212  0.80403778  0.27216942  0.47476754
 -0.19647948 -1.31514097 -0.45394824 -0.70754485 -0.08622427 -0.1186712
  0.14656238 -0.33439376 -1.37669915  0.0294986   0.82253714  0.78417734
  0.64067021 -0.53678418  0.93757988  0.55519365  0.30703427  0.24684427
 -0.12908458  0.5452829   0.60764921 -0.02035336 -0.78639456  0.60839811
  0.25891768  0.13425726  0.10015989 -0.63644494  0.88734259  0.10033065
 -0.24042335  0.45786643  0.8564079  -0.12069414 -0.73738287  0.148474
  0.43374518  0.73390972 -0.17695751 -0.03779896]"
"Waterfall Victoria Fund, Ltd",Hedge Fund,"(0, 0, 1)",215.86178740220075,"[ 0.14910415  0.19548237  0.43733762  0.59798821  0.72186294 -0.27828087
  0.21435652 -0.68575322  0.73061722 -0.02970444 -0.09606549  0.86472575
 -0.06151236 -0.20089308  0.06177218 -0.90094087  0.15560975 -0.67620017
 -1.91093623 -0.86015087  1.18897672  1.92575989 -0.65405136  0.10546206
 -1.08804545  0.17603557  0.2604783   0.20674673  0.72548424 -0.33886974
  0.58420912 -0.24589643 -0.33090965  0.86291469 -0.06121786 -0.08094097
  0.79226629  0.45027056  0.10588386  0.09188596 -0.28583779  0.12558538
 -1.06131779  1.04168928 -0.55028911 -0.33141114  0.79299624  3.33015186
  0.12757484 -0.3016413  -0.46184475  0.20420657 -1.14410269 -0.34484873
  0.87518138 -0.49321259  0.26930742 -0.544689   -0.88232179 -0.28741797
  0.00584234 -0.23184589 -0.40319446  0.40466922  0.15329927  0.23417554
 -0.67897607 -0.62048483  0.35000367 -0.12781134  1.15988807 -0.11950988
 -0.26146187  0.39162151 -0.11457899 -0.4322637   0.07939628 -0.63380679
  0.01217001 -0.51287486 -0.27749522 -0.14577124 -0.2871914  -0.43419451
  0.35971026 -0.59938977  0.04657332 -0.06846932 -0.25976178 -0.50865495
  0.45181857  0.62563213 -0.31263239 -0.13005744 -0.23974669  1.77809032
 -1.08003822  0.28473349 -0.6871975  -0.36914791]"
Pine Grove Offshore Fund Ltd. Class C Shares,Fund of Funds,"(3, 0, 1)",217.90552065610623,"[-1.76        0.16098618  1.58434539 -0.06112708  1.81572811  0.08505964
 -0.22040448  0.8747171   0.36937322  0.34728515 -1.23812573  0.64251812
 -0.73189269 -0.3667739  -0.16641052 -1.5266348  -0.7915189   1.65818885
 -0.40197571  0.34053028  0.8941237   0.93056749 -0.06179167 -0.31192301
 -1.14193624  0.39889726  0.73933836  0.54036219  0.32842473  0.11759359
 -0.19467469  0.51572938  1.38272413 -0.43165433  0.3365737   0.08574829
  1.31716817 -1.63721816  0.5364607  -0.39125661  0.9692165   0.5540251
  0.05666875  0.17648245  0.62838555  0.52025099  0.06564808 -0.13977006
  0.24319835  0.43290166 -0.26692429 -0.19981976 -0.53799255 -0.86752171
  0.39221143 -0.54662675  0.08797183  0.78021078  0.28408184  0.47866946
 -0.20180632 -1.29931919 -0.45251593 -0.72268825 -0.07707076 -0.14120191
  0.16221808 -0.35179583 -1.39065829  0.04361446  0.79450228  0.78419001
  0.63260175 -0.52911247  0.93233128  0.52382663  0.33267231  0.22990201
 -0.06491661  0.49321304  0.62122685 -0.03508725 -0.7482363   0.60144372
  0.25779181  0.14608007  0.08589211 -0.63468993  0.88904564  0.07879454
 -0.19757896  0.42226442  0.86201346 -0.11878723 -0.715207    0.14622787
  0.43012587  0.72780636 -0.17476103 -0.02313718]"
Absolute Focus Fund Limited Class A,Fund of Funds,"(0, 0, 0)",220.6225667186248,"[-1.0976 -1.6376  0.3624 -0.3776  0.4124  0.2724  0.3324  0.1624  0.3224
  0.7224 -0.3576 -0.5276 -0.5276 -0.0576  0.4624 -1.9176 -0.2476 -0.3076
  0.2124 -0.0376 -0.4676  0.8624  0.2724 -0.1376 -1.0376 -0.3476 -0.5776
  0.2424 -0.3276 -0.4676  1.4024  0.6424  1.1424  0.4324  2.7524  0.1924
 -1.2276  0.1324  0.3924 -0.7776  1.6524  1.5124  0.5524  0.3624 -0.2576
  0.0724 -0.3276  0.6924 -0.0976 -0.2176  0.1524  0.4524 -0.0676 -0.6676
  0.3224  0.5724 -0.2876 -0.0876 -0.0876  0.3324  0.1024  0.3924  0.2124
 -0.0276 -0.1776  0.0824 -0.1776 -0.5776  0.2324 -0.7976  0.4624 -0.3876
  0.2224 -1.3076  1.0524 -0.8376  0.2224  0.7524  0.5924  1.0124  0.5324
 -0.3876  0.1424 -0.8676 -0.5476 -0.8976 -0.3376  1.1324 -0.2476  0.7424
 -1.0776 -0.5976  0.3724  0.0224  0.0624 -1.1576  0.2924 -1.2476 -0.8476
  0.0224]"
"Yakira Partners, L.P.",Hedge Fund,"(0, 0, 0)",222.47520277728356,"[ 0.7503 -0.5597  1.5103 -0.8397  0.9903  0.1903  0.0203  0.2603  0.3103
  0.4403  0.0803  0.2303 -0.0497 -0.4797 -0.8997 -1.5497 -2.4697  1.9803
 -0.0297  0.1703  0.7403  0.3603  0.3203 -0.5097 -1.5397  0.3403 -0.2897
  1.4703  0.3403 -0.3697 -0.2297 -0.3397  0.4203 -0.4597 -0.1897 -0.6297
  0.2603  0.0303  0.3003 -0.4497  0.6503 -0.0697 -0.6097  1.4003 -0.2497
  0.5603 -0.1897 -0.3397 -0.7297  0.9203  0.1503 -0.1197 -1.6297 -0.2397
  0.1503 -0.1097  0.1503  1.6403  0.0203 -0.0797  0.1303 -0.0697 -1.2497
 -0.6197 -1.1897  0.9503 -0.5397 -0.2397 -1.2097 -0.0197  1.0403  0.0203
 -0.0497 -0.1197  0.1303 -0.1297 -0.7497 -0.6597 -0.0097  1.1903 -0.0297
  0.5403 -0.3597  0.2703 -0.4997  0.4103 -0.2197 -0.0397  0.7703  0.6803
 -1.3897  0.5903  0.4403  0.1203 -0.1997 -0.3597  0.7303  0.6303  0.6303
 -0.2297]"
Absolute Focus Fund Limited Class B,Fund of Funds,"(0, 0, 0)",225.91778459149668,"[-1.1144 -1.6344  0.3956 -0.3744  0.4656  0.3056  0.3756  0.2056  0.3556
  0.7456 -0.3344 -0.4344 -0.4744 -0.0144  0.4756 -1.8944 -0.2244 -0.2344
  0.2356  0.0156 -0.4344  0.8756  0.2956 -0.1144 -1.0644 -0.3044 -0.5644
  0.2356 -0.3044 -0.4544  1.4256  0.6456  1.1756  0.4956  2.9056  0.2256
 -1.2444  0.1756  0.4256 -0.7544  1.6356  1.4656  0.5556  0.3756 -0.2344
  0.1256 -0.2944  0.7056 -0.0644 -0.1744  0.1656  0.5056 -0.0544 -0.6544
  0.3656  0.6256 -0.2544 -0.0444 -0.0844  0.3756  0.1256  0.4256  0.2256
  0.0056 -0.1344  0.1256 -0.1344 -0.6044  0.2556 -0.7944  0.4756 -0.3944
  0.2356 -1.3644  1.1656 -0.8444  0.1656  0.8156  0.5256  0.9956  0.3956
 -0.4244  0.0856 -0.8844 -0.6144 -0.9744 -0.4144  1.0656 -0.3844  0.6856
 -1.1244 -0.7044  0.2756 -0.0244 -0.0544 -1.2644  0.1456 -1.4544 -1.0244
 -0.1044]"
Southpaw Credit Opportunity Fund (FTE) Ltd.,Hedge Fund,"(1, 0, 0)",226.37684292979472,"[-8.81949698e-01  1.71226591e-01  8.23408920e-01 -2.19409854e-01
  4.11532679e-01  6.70905059e-01  4.06839871e-01  4.15282668e-02
  5.42468593e-01  1.18871611e+00  2.44023303e-01 -3.02222009e-01
 -2.44091631e-01 -1.17190268e+00  6.91854211e-01 -2.28065627e+00
 -1.06845188e+00  2.44358072e-01 -2.50651856e-01  1.49348144e-01
  3.21845386e-01 -9.47192513e-02 -2.28154614e-01  4.34704063e-03
 -9.47216494e-01 -8.17835289e-01  1.18404095e+00  3.07152577e-01
  3.19341525e-01  3.89966939e-01 -4.72209059e-02  6.27156990e-01
  3.44965836e-01  8.29341525e-01  3.04650923e-01  8.18409736e-02
  2.55215589e+00 -1.71567282e+00  3.43726039e-01  4.14657541e-01
 -4.92532510e-01  5.59786795e-03  4.36533782e-01 -8.87822339e-02
 -2.28467321e-01  1.05090947e+00  2.51838767e-01 -4.64096044e-01
  3.28097316e-01  1.08621887e+00 -7.43475042e-01 -2.54402132e-01
 -2.44089425e-01 -6.04089425e-01 -3.36943253e-04 -1.00534025e+00
 -1.11658446e+00  1.65091830e+00 -6.63162336e-01 -7.84651146e-02
 -5.42840804e-01 -4.25025340e-01 -1.53471263e+00 -2.15970491e+00
  6.97489552e-01  7.46597475e-02 -1.47841907e-01 -2.79715942e-01
 -4.17839701e-01 -6.39088322e-01 -2.59398823e-01  1.20434925e+00
  7.38088492e-01  3.40255090e-02  1.77780197e-01  5.58718318e-01
 -3.41596595e-01  1.26533782e-01 -5.52217597e-01  9.37474109e-01
  6.47465284e-01 -3.54098250e-01 -5.75292003e-02  2.32783506e-01
 -5.43468424e-01 -7.99713736e-01  1.08727142e-01 -5.65295937e-03
  7.16221075e-01 -3.98471733e-01 -1.46278373e-01  7.77471903e-01
 -2.53468711e-02 -6.96905993e-01  1.31849798e-01  5.76221075e-01
  1.59654232e-01 -6.15943891e-02  4.18095110e-01  2.07467490e-01]"
Sycomore L/S Market Neutral Class I EUR,Hedge Fund,"(0, 0, 0)",233.74202108726584,"[-1.66 -0.27  0.51  0.43 -0.16  0.78 -0.51  0.2   0.63 -0.22 -0.04 -0.64
  0.89 -0.72 -0.24  0.08  0.67  1.74  0.74 -0.29  2.73 -0.21  0.57 -0.37
 -1.6   0.49  0.12  0.78 -0.31 -0.3   0.41  0.98  0.4   0.29 -1.13  0.02
  0.45 -0.96  0.59  0.81  0.33 -0.33  0.68 -0.02 -0.47 -0.75  0.48  0.08
  0.46 -1.24 -0.11 -1.2  -2.    0.    1.2   0.8   1.5   0.7   0.2   1.8
  0.1  -0.4   0.4   0.3  -0.9   0.7  -0.1   0.9  -0.9  -0.8   0.9   0.3
  0.8  -0.4   0.9   0.8   0.2  -0.2  -0.9   1.3   0.   -0.2   0.2  -0.3
  0.2  -0.2   1.   -1.1   0.9  -1.   -0.2  -0.3   0.1  -0.5   0.2  -0.1
 -0.4  -0.3  -0.2  -0.9 ]"
"Aurum Managed Euro Portfolio, Ltd.",Fund of Funds,"(0, 0, 0)",237.88402804262577,"[-2.67220000e+00 -7.42199998e-01 -1.22199998e-01  7.37800002e-01
  1.24780000e+00  8.77800002e-01 -3.32199998e-01  1.24780000e+00
 -4.92199998e-01  1.37800002e-01 -1.92199998e-01  1.00780000e+00
 -1.32220000e+00 -1.46220000e+00  6.97800002e-01 -1.25220000e+00
 -5.62199998e-01 -5.62199998e-01 -7.72199998e-01 -6.12199998e-01
  1.16780000e+00  6.57800002e-01 -2.82199998e-01 -1.00220000e+00
  5.78000023e-02 -7.02199998e-01  2.77800002e-01  3.47800002e-01
  2.57800002e-01 -3.12199998e-01  5.37800002e-01  9.17800002e-01
  1.13780000e+00  7.78000023e-02 -2.19999775e-03  8.77800002e-01
 -4.32199998e-01 -9.02199998e-01 -4.92199998e-01 -1.55220000e+00
  3.37800002e-01  8.97800002e-01  7.17800002e-01  5.07800002e-01
 -6.62199998e-01  3.77800002e-01 -4.32199998e-01 -1.12220000e+00
  7.07800002e-01  1.17800002e-01  6.47800002e-01 -1.62199998e-01
  1.41780000e+00 -1.03220000e+00  7.07800002e-01  7.80000225e-03
  1.10780000e+00  1.11780000e+00  6.07800002e-01 -6.02199998e-01
  6.67800002e-01 -7.32199998e-01  9.77800002e-01 -3.21999977e-02
 -1.22220000e+00 -2.82199998e-01  3.07800002e-01 -3.32199998e-01
 -3.82199998e-01 -1.55220000e+00 -3.92199998e-01  8.87800002e-01
  9.78000023e-02 -1.09220000e+00  3.87800002e-01  1.07800002e-01
  1.77800002e-01  4.78000023e-02 -4.72199998e-01  2.78000023e-02
  1.47800002e-01  2.87800002e-01  5.17800002e-01  2.87800002e-01
  8.27800002e-01 -9.32199998e-01 -1.22199998e-01  1.59780000e+00
 -6.21999977e-02  5.87800002e-01 -1.26220000e+00 -1.22199998e-01
  1.02780000e+00 -8.62199998e-01  4.97800002e-01 -5.21999977e-02
  7.80000225e-03 -3.22199998e-01 -1.02199998e-01  9.78000023e-02]"
"Aurum Managed Dollar Portfolio, Ltd.",Fund of Funds,"(0, 0, 0)",240.59868586930304,"[-2.526 -0.756 -0.176  0.644  1.354  0.834 -0.426  1.224 -0.546  0.054
 -0.286  0.994 -1.446 -1.596  0.574 -1.396 -0.596 -0.656 -0.836 -0.626
  1.164  0.634 -0.326 -1.046  0.004 -0.766  0.234  0.344  0.244 -0.346
  0.504  0.924  1.164  0.004 -0.046  0.854 -0.476 -0.946 -0.546 -1.596
  0.294  0.864  0.644  0.464 -0.736  0.334 -0.496 -1.196  0.624  0.054
  0.584 -0.216  1.304 -1.076  0.654 -0.056  0.964  1.074  0.494 -0.616
  0.624 -0.756  0.944 -0.036 -1.236 -0.286  0.254 -0.396 -0.356 -1.546
 -0.346  0.924  0.104 -1.056  0.414  0.184  0.234  0.154 -0.416  0.084
  0.594  0.304  0.634  0.344  0.954 -0.836 -0.016  1.754  0.034  0.524
 -1.216  0.134  1.234 -0.806  0.704  0.094  0.154 -0.146  0.044  0.274]"
"Aurum Managed Sterling Portfolio, Ltd.",Fund of Funds,"(0, 0, 0)",240.61804047927694,"[-2.6415 -0.7415 -0.1515  0.6885  1.3085  0.8585 -0.3915  1.2585 -0.5215
  0.0785 -0.2415  0.9585 -1.4015 -1.5615  0.6085 -1.3515 -0.5715 -0.6015
 -0.8015 -0.5815  1.1685  0.6585 -0.2915 -0.9915 -0.5815 -0.7315  0.2685
  0.3685  0.2585 -0.3115  0.5485  0.9285  1.2285  0.0685 -0.0115  0.8685
 -0.4415 -0.9015 -0.5015 -1.5315  0.3285  0.9085  0.6685  0.4885 -0.7115
  0.3585 -0.4415 -1.1415  0.6785  0.0785  0.6285 -0.1615  1.3785 -1.0315
  0.7285 -0.0115  1.0585  1.0685  0.6185 -0.5815  0.6685 -0.7115  0.9885
  0.0185 -1.2115 -0.2415  0.3185 -0.3815 -0.3615 -1.5515 -0.3415  0.9085
  0.1185 -1.1115  0.4985  0.1585  0.2085  0.1485 -0.4515  0.0585  0.3585
  0.2985  0.5585  0.2885  0.9585 -0.9115 -0.0915  1.7085 -0.1015  0.6185
 -1.2215 -0.0515  1.0585 -0.8315  0.5585  0.0085  0.0585 -0.2815 -0.0615
  0.1685]"
WCM Merger Fund Investor Class,Hedge Fund,"(0, 0, 0)",245.667237843738,"[-1.6132  0.1768  1.0668  0.1668  0.3568 -0.0832  0.0968  0.2268  0.7368
  0.2268  0.7868  0.3468 -0.0332 -0.4632 -1.4432 -2.2132 -1.0432  1.5868
  0.5468  0.1168 -0.1532  0.6168 -0.0232  0.1068 -0.6532 -0.0232  0.0368
  0.8668 -0.4632 -1.2132  0.7368  1.1868 -0.8432 -0.0232  0.4868  0.0368
 -0.0832 -0.5232  0.7268 -0.1532  0.6568  0.3468 -0.0932  0.4668 -0.7732
  0.8568 -0.2132  0.2268  0.8968  0.5868 -0.7032  0.6368 -1.4232 -1.4332
  0.2168  0.0268 -0.5332  1.5868 -0.2732 -0.2132  0.2868 -1.4032 -0.4032
 -1.4232 -1.5632  1.2868 -0.6032 -0.0732 -1.2632  0.1868  1.4268 -1.1232
  0.9568 -0.5332  0.1068 -0.0832 -0.0832 -0.4732  0.4968  0.4268  0.1068
  0.1068 -0.0832  0.4868  0.2868 -0.0832 -0.0832 -0.2132 -0.0232  0.3468
 -1.5132  0.5068  1.3568  1.5768 -1.1232 -0.3332  1.4468  1.4768 -1.5132
  0.0868]"
